Start: 58.841030, Duration: 0.211320, Confidence: 0.636000
Start: 59.052350, Duration: 0.211210, Confidence: 0.745000
Start: 59.263560, Duration: 0.211210, Confidence: 0.745000
Start: 59.474780, Duration: 0.212800, Confidence: 0.456000
Start: 59.687580, Duration: 0.212800, Confidence: 0.456000
Start: 59.900380, Duration: 0.212900, Confidence: 0.121000
Start: 60.113270, Duration: 0.212900, Confidence: 0.121000
Start: 60.326170, Duration: 0.212620, Confidence: 0.333000
Start: 60.538800, Duration: 0.212620, Confidence: 0.333000
Start: 60.751420, Duration: 0.211030, Confidence: 0.599000
Start: 60.962450, Duration: 0.211030, Confidence: 0.599000
Start: 61.173490, Duration: 0.207560, Confidence: 0.606000
Start: 61.381040, Duration: 0.207560, Confidence: 0.606000
Start: 61.588600, Duration: 0.211070, Confidence: 0.825000
Start: 61.799670, Duration: 0.211070, Confidence: 0.825000
Start: 62.010740, Duration: 0.212310, Confidence: 0.756000
Start: 62.223050, Duration: 0.212310, Confidence: 0.756000
Start: 62.435360, Duration: 0.211280, Confidence: 0.729000
Start: 62.646650, Duration: 0.211280, Confidence: 0.729000
Start: 62.857930, Duration: 0.210790, Confidence: 0.461000
Start: 63.068720, Duration: 0.210790, Confidence: 0.461000
Start: 63.279510, Duration: 0.211240, Confidence: 0.317000
Start: 63.490750, Duration: 0.211240, Confidence: 0.317000
Start: 63.702000, Duration: 0.211660, Confidence: 0.517000
Start: 63.913660, Duration: 0.211660, Confidence: 0.517000
Start: 64.125320, Duration: 0.215300, Confidence: 0.667000
Start: 64.340620, Duration: 0.215300, Confidence: 0.667000
Start: 64.555920, Duration: 0.210800, Confidence: 0.605000
Start: 64.766710, Duration: 0.210800, Confidence: 0.605000
Start: 64.977510, Duration: 0.210430, Confidence: 0.694000
Start: 65.187940, Duration: 0.210430, Confidence: 0.694000
Start: 65.398370, Duration: 0.210630, Confidence: 0.638000
Start: 65.609000, Duration: 0.210630, Confidence: 0.638000
Start: 65.819640, Duration: 0.211020, Confidence: 0.527000
Start: 66.030660, Duration: 0.211020, Confidence: 0.527000
Start: 66.241670, Duration: 0.211030, Confidence: 0.493000
Start: 66.452700, Duration: 0.211030, Confidence: 0.493000
Start: 66.663720, Duration: 0.210840, Confidence: 0.295000
Start: 66.874560, Duration: 0.210840, Confidence: 0.295000
Start: 67.085400, Duration: 0.208190, Confidence: 0.254000
Start: 67.293590, Duration: 0.208190, Confidence: 0.254000
Start: 67.501790, Duration: 0.209520, Confidence: 0.330000
Start: 67.711310, Duration: 0.209520, Confidence: 0.330000
Start: 67.920830, Duration: 0.207820, Confidence: 0.376000
Start: 68.128660, Duration: 0.207820, Confidence: 0.376000
