Start: 79.367440, Duration: 0.429170, Confidence: 0.223000
Start: 79.796610, Duration: 0.430670, Confidence: 0.131000
Start: 80.227280, Duration: 0.429900, Confidence: 0.137000
Start: 80.657180, Duration: 0.426100, Confidence: 0.169000
Start: 81.083280, Duration: 0.421930, Confidence: 0.275000
Start: 81.505210, Duration: 0.424570, Confidence: 0.286000
Start: 81.929790, Duration: 0.426840, Confidence: 0.347000
Start: 82.356620, Duration: 0.426450, Confidence: 0.264000
Start: 82.783080, Duration: 0.424940, Confidence: 0.348000
Start: 83.208020, Duration: 0.426830, Confidence: 0.090000
Start: 83.634850, Duration: 0.430250, Confidence: 0.153000
Start: 84.065100, Duration: 0.431780, Confidence: 0.130000
Start: 84.496880, Duration: 0.427930, Confidence: 0.199000
Start: 84.924810, Duration: 0.426490, Confidence: 0.199000
Start: 85.351300, Duration: 0.425040, Confidence: 0.199000
Start: 85.776340, Duration: 0.423600, Confidence: 0.199000
Start: 86.199940, Duration: 0.422150, Confidence: 0.199000
Start: 86.622090, Duration: 0.424550, Confidence: 0.199000
Start: 87.046640, Duration: 0.424000, Confidence: 0.125000
Start: 87.470640, Duration: 0.426840, Confidence: 0.099000
Start: 87.897480, Duration: 0.426850, Confidence: 0.104000
Start: 88.324330, Duration: 0.429320, Confidence: 0.168000
Start: 88.753650, Duration: 0.433860, Confidence: 0.237000
Start: 89.187510, Duration: 0.431400, Confidence: 0.424000
Start: 89.618910, Duration: 0.426670, Confidence: 0.475000
Start: 90.045590, Duration: 0.424220, Confidence: 0.476000
Start: 90.469800, Duration: 0.420430, Confidence: 0.455000
Start: 90.890230, Duration: 0.417600, Confidence: 0.486000
Start: 91.307830, Duration: 0.415140, Confidence: 0.463000
Start: 91.722970, Duration: 0.413250, Confidence: 0.341000
Start: 92.136220, Duration: 0.414010, Confidence: 0.323000
Start: 92.550230, Duration: 0.419120, Confidence: 0.363000
Start: 92.969350, Duration: 0.424240, Confidence: 0.544000
Start: 93.393590, Duration: 0.424620, Confidence: 0.640000
Start: 93.818210, Duration: 0.427080, Confidence: 0.651000
Start: 94.245290, Duration: 0.431810, Confidence: 0.717000
Start: 94.677100, Duration: 0.435790, Confidence: 0.527000
Start: 95.112890, Duration: 0.442030, Confidence: 0.450000
Start: 95.554920, Duration: 0.445440, Confidence: 0.216000
Start: 96.000360, Duration: 0.446000, Confidence: 0.390000
Start: 96.446360, Duration: 0.448080, Confidence: 0.232000
Start: 96.894430, Duration: 0.443150, Confidence: 0.198000
Start: 97.337580, Duration: 0.433870, Confidence: 0.346000
Start: 97.771450, Duration: 0.426860, Confidence: 0.307000
Start: 98.198310, Duration: 0.420220, Confidence: 0.261000
Start: 98.618530, Duration: 0.418700, Confidence: 0.285000
Start: 99.037230, Duration: 0.420030, Confidence: 0.336000
Start: 99.457260, Duration: 0.419460, Confidence: 0.297000
Start: 99.876720, Duration: 0.421540, Confidence: 0.215000
Start: 100.298250, Duration: 0.426470, Confidence: 0.208000
Start: 100.724720, Duration: 0.432720, Confidence: 0.131000
Start: 101.157440, Duration: 0.437270, Confidence: 0.397000
Start: 101.594710, Duration: 0.435200, Confidence: 0.325000
Start: 102.029910, Duration: 0.429710, Confidence: 0.289000
Start: 102.459620, Duration: 0.426320, Confidence: 0.393000
Start: 102.885940, Duration: 0.426700, Confidence: 0.299000
Start: 103.312640, Duration: 0.424820, Confidence: 0.209000
Start: 103.737460, Duration: 0.418400, Confidence: 0.145000
Start: 104.155860, Duration: 0.413870, Confidence: 0.069000
Start: 104.569730, Duration: 0.411810, Confidence: 0.397000
Start: 104.981540, Duration: 0.410880, Confidence: 0.479000
Start: 105.392420, Duration: 0.412050, Confidence: 0.604000
Start: 105.804470, Duration: 0.413600, Confidence: 0.628000
Start: 106.218060, Duration: 0.416100, Confidence: 0.618000
Start: 106.634160, Duration: 0.419170, Confidence: 0.596000
Start: 107.053330, Duration: 0.421100, Confidence: 0.567000
Start: 107.474420, Duration: 0.425300, Confidence: 0.569000
Start: 107.899730, Duration: 0.430280, Confidence: 0.710000
Start: 108.330010, Duration: 0.432640, Confidence: 0.573000
Start: 108.762650, Duration: 0.433300, Confidence: 0.634000
Start: 109.195950, Duration: 0.433010, Confidence: 0.560000
Start: 109.628960, Duration: 0.432910, Confidence: 0.646000
Start: 110.061870, Duration: 0.432800, Confidence: 0.437000
Start: 110.494670, Duration: 0.430420, Confidence: 0.578000
Start: 110.925090, Duration: 0.427450, Confidence: 0.428000
Start: 111.352540, Duration: 0.426340, Confidence: 0.586000
Start: 111.778880, Duration: 0.427870, Confidence: 0.469000
Start: 112.206740, Duration: 0.427690, Confidence: 0.610000
Start: 112.634440, Duration: 0.426000, Confidence: 0.559000
Start: 113.060440, Duration: 0.425250, Confidence: 0.552000
Start: 113.485690, Duration: 0.424690, Confidence: 0.446000
Start: 113.910370, Duration: 0.427160, Confidence: 0.546000
Start: 114.337530, Duration: 0.429440, Confidence: 0.405000
Start: 114.766970, Duration: 0.426980, Confidence: 0.528000
